person_id,id,name,character,role
15267,tm83648,Maurice Costello,Extra (uncredited),ACTOR
572312,tm83648,Demetrius Alexis,Newsreel Man (uncredited),ACTOR
100405,tm83648,Gene Coogan,Newsreel Man (uncredited),ACTOR
571680,tm83648,Art Dupuis,Newsreel Man (uncredited),ACTOR
71398,tm83648,Rudy Germane,Newsreel Man (uncredited),ACTOR
71393,tm83648,Mike Lally,Newsreel Man (uncredited),ACTOR
571576,tm83648,Walter Lawrence,Newsreel Man (uncredited),ACTOR
153531,tm83648,John Northpole,Newsreel Man (uncredited),ACTOR
14795,tm83648,Victor Romito,Newsreel Man (uncredited),ACTOR
134046,tm83648,Bob Terry,Newsreel Man (uncredited),ACTOR
153890,tm83648,William Alston,Man at Xanadu Great Hall (uncredited),ACTOR
57850,tm83648,Jack Gargan,Man at Xanadu Great Hall (uncredited),ACTOR
27201,tm83648,Bert Moorhouse,Man at Xanadu Great Hall (uncredited),ACTOR
574453,tm83648,Carmen Laroux,Maid in Xanadu Hall (uncredited),ACTOR
27209,tm83648,Sam Ash,Man at Boat Dock (uncredited),ACTOR
582859,tm83648,Buddy Messinger,Man at Boat Dock (uncredited),ACTOR
572681,tm83648,Terrance Ray,Man at Boat Dock (uncredited),ACTOR
93832,tm83648,Sally Corner,Woman at Boat Dock (uncredited),ACTOR
22486,tm83648,Walter Bacon,City Room Employee (uncredited),ACTOR
155779,tm83648,Herbert Corthell,City Editor (uncredited),ACTOR
27211,tm83648,Harry A. Bailey,Man Singing at Inquirer Party (uncredited),ACTOR
15265,tm83648,Danny Borzage,Man Singing at Inquirer Party (uncredited),ACTOR
617295,tm83648,J.J. Clark,Man Singing at Inquirer Party (uncredited),ACTOR
32290,tm83648,Tom Coleman,Man Singing at Inquirer Party (uncredited),ACTOR
14740,tm83648,Carl Deloro,Man Singing at Inquirer Party (uncredited),ACTOR
27256,tm83648,Jack Egan,Man Singing at Inquirer Party (uncredited),ACTOR
82246,tm83648,Robert Haines,Man Singing at Inquirer Party (uncredited),ACTOR
153420,tm83648,Ludwig Lowry,Man Singing at Inquirer Party (uncredited),ACTOR
154456,tm83648,John McCormack,Man Singing at Inquirer Party (uncredited),ACTOR
81685,tm83648,Hercules Mendez,Man Singing at Inquirer Party (uncredited),ACTOR
133013,tm83648,Paddy O'Flynn,Man Singing at Inquirer Party (uncredited),ACTOR
153575,tm83648,Sam Rice,Man Singing at Inquirer Party (uncredited),ACTOR
556300,tm83648,Don Roberts,Man Singing at Inquirer Party (uncredited),ACTOR
47833,tm83648,Larry Wheat,Man Singing at Inquirer Party (uncredited),ACTOR
